iter	Passed	Remaining
604	3043	226
605	3048	221
606	3053	216
607	3058	211
608	3063	206
609	3068	201
610	3073	196
611	3078	191
612	3082	186
613	3087	181
614	3092	176
615	3097	170
616	3102	165
617	3107	160
618	3112	155
619	3116	150
620	3121	145
621	3126	140
622	3130	135
623	3135	130
624	3140	125
625	3145	120
626	3149	115
627	3154	110
628	3158	105
629	3163	100
630	3169	95
631	3173	90
632	3178	85
633	3183	80
634	3188	75
635	3193	70
636	3198	65
637	3203	60
638	3207	55
639	3213	50
640	3217	45
641	3222	40
642	3227	35
643	3232	30
644	3237	25
645	3241	20
646	3246	15
647	3250	10
648	3255	5
649	3260	0
